address,price,details,Price,Bedrooms,Bathrooms,Latitude,Longitude
"47 Hepscott Ter, Toronto, ON M1W 1C9","C$899,999",4 bds2 ba- House for sale,899999,4,2,43.7927296,-79.3289884
"44 Blackwater Cres, Toronto, ON M1B 1L6","C$859,900",3 bds4 ba- House for sale,859900,3,4,43.7987811,-79.2167305
"17 Whitefriars Dr, Toronto, ON M3A 2L2","C$1,449,000",3 bds4 ba- House for sale,1449000,3,4,43.7486573,-79.33029830000001
"386 Yonge St #2007, Toronto, ON M5B 0A5","C$1,089,900",3 bds2 ba- Condo for sale,1089900,3,2,43.6596706,-79.3825726
"37 Centrepark Dr, Toronto, ON M6M 5K3","C$888,888",3 bds3 ba- House for sale,888888,3,3,43.6952558,-79.4984228
"30 Roehampton Ave #906, Toronto, ON M4P 0B9","C$649,500",1 bd1 ba- Condo for sale,649500,1,1,43.7085241,-79.39760919999999
"8 Thunder Grv #99, Toronto, ON M1V 1V6","C$649,900",3 bds2 ba- Townhouse for sale,649900,3,2,43.8103714,-79.26549779999999
"71 Parrotta Dr, Toronto, ON M9M 0B5","C$848,888",4 bds4 ba- Townhouse for sale,848888,4,4,43.7334097,-79.53536749999999
"41 Holcolm Rd, Toronto, ON M2N 2C8","C$989,000",3 bds3 ba- House for sale,989000,3,3,43.7763076,-79.4189143
"1 Aberfoyle Cres #809, Toronto, ON M8X 2X8","C$719,000",1 bd1 ba- Condo for sale,719000,1,1,43.6458046,-79.5197835
"380 Macpherson Ave #106, Toronto, ON M4V 3E3","C$1,490,000","3 bds3 ba1,360 sqft- Condo for sale",1490000,3,3,43.6764978,-79.40576639999999
"290 Valermo Dr, Toronto, ON M8W 0B6","C$1,775,000",4 bds4 ba- House for sale,1775000,4,4,43.6094065,-79.5331509
"34 Marlborough Ave, Toronto, ON M5R 1X6","C$2,199,000",3 bds4 ba- Townhouse for sale,2199000,3,4,43.679833,-79.39199959999999
"50 George Butchart Dr #17, Toronto, ON M3K 1Y2","C$559,900",1 bd1 ba- Condo for sale,559900,1,1,43.73654519999999,-79.48387869999999
"11 Charlotte St #702, Toronto, ON M5V 0M6","C$950,000",2 bds2 ba842 sqft- Condo for sale,950000,2,2,43.6464437,-79.39358419999999
"1003 Bathurst St, Toronto, ON M5R 3G8","C$2,199,900",6 bds4 ba- House for sale,2199900,6,4,43.6707663,-79.41314659999999
"65 Saint Mary St #4007, Toronto, ON M5S 0A6","C$739,000",1 bd1 ba- Condo for sale,739000,1,1,43.6672065,-79.389162
"5 Marine Parade Dr #707, Toronto, ON M8V 4B4","C$699,999",2 bds2 ba- Condo for sale,699999,2,2,43.6299034,-79.4755739
"190 Benjamin Boake Trl, Toronto, ON M3J 3C4","C$1,069,900",4 bds3 ba- House for sale,1069900,4,3,43.74695089999999,-79.49448579999999
"1 Massey Sq #2503, Toronto, ON M4C 5L4","C$459,900",2 bds1 ba- Condo for sale,459900,2,1,43.696526,-79.294243
"60 Holmstead Ave, Toronto, ON M4B 1T2","C$1,099,000",6 bds3 ba- House for sale,1099000,6,3,43.7097886,-79.2981291
"80 Esther Lorrie Dr #602, Toronto, ON M9W 0C6","C$469,900",2 bds1 ba- Condo for sale,469900,2,1,43.731918,-79.57693739999999
